School_ID,Name_of_School,Elementary_Middle_High_School,Students_Passing_Algebra,X10_Grade_Plan_2009,X10_Grade_Plan_2010,Graduation_Rate
610231,National Teachers Elementary Academy,ES,,,,
609790,Clara Barton Elementary School,ES,3.8,,,
609913,Elaine O Goodlow Elementary Magnet School,ES,,,,
609950,Josefa Ortiz De Dominguez Elementary School,ES,,,,
610051,Northwest Middle School,MS,62.5,,,
610254,Dvorak Technology Academy,ES,16.7,,,
610070,James B McPherson Elementary School,ES,,,,
609676,Paul Laurence Dunbar Career Academy High School,HS,,13.9,13.8,61.7
610281,Adam Clayton Powell Paideia Community Academy Elementary School,ES,27.3,,,
610216,John A Walsh Elementary School,ES,42.9,,,
610220,Thomas J Waters Elementary School,ES,,,,
609978,Wendell Smith Elementary School,ES,,,,
610043,Joseph Lovett Elementary School,ES,,,,
609732,Charles P Steinmetz Academic Centre High School,HS,,13.8,14.3,56.7
609741,Gurdon S Hubbard High School,HS,,15.3,15.3,57.2
610242,Joseph Brennemann Elementary School,ES,,,,
610180,John M Smyth Elementary School,ES,,,,
610078,Inter-American Elementary Magnet School,ES,83.3,,,
610234,Richard Yates Elementary School,ES,77.8,,,
609720,Albert G Lane Technical High School,HS,,19.9,20.1,92.2
610074,James Monroe Elementary School,ES,,,,
609729,Carl Schurz High School,HS,,14.3,14,62.1
610208,Mildred I Lavizzo Elementary School,ES,,,,
609736,Dyett High School,HS,,13,12.9,33.7
610504,Velma F Thomas Early Childhood Center,ES,,,,
610304,Phoenix Military Academy High School,HS,,15.9,15.9,74.8
609829,John C Burroughs Elementary School,ES,21.1,,,
610224,West Pullman Elementary School,ES,,,,
610136,William H Prescott Elementary School,ES,,,,
609674,Chicago Vocational Career Academy High School,HS,,13.8,13.2,49.5
610187,Graeme Stewart Elementary School,ES,,,,
609830,Milton Brunson Math & Science Specialty Elementary School ,ES,,,,
610279,Henry O Tanner Elementary School,ES,,,,
610355,Mary E Courtenay Elementary Language Arts Center,ES,,,,
610299,William A Hinton Elementary School,ES,,,,
610223,Daniel S Wentworth Elementary School,ES,,,,
610036,Leslie Lewis Elementary School,ES,,,,
609828,Jonathan Burr Elementary School,ES,,,,
610031,Jean D Lafayette Elementary School,ES,,,,
610205,Lyman Trumbull Elementary School,ES,,,,
610229,A.N. Pritzker School,ES,,,,
610287,Ashburn Community Elementary School,ES,40,,,
609924,Fort Dearborn Elementary School,ES,,,,
610172,William T Sherman Elementary School,ES,,,,
609960,Nathan Hale Elementary School,ES,,,,
610269,John T McCutcheon Elementary School,ES,,,,
610366,Charles H Wacker Elementary School,ES,,,,
610115,Park Manor Elementary School,ES,,,,
609795,George Rogers Clark Elementary School,ES,,,,
610354,North River Elementary School,ES,,,,
610146,Paul Revere Elementary School,ES,,,,
609898,John F Eberhart Elementary School,ES,17.2,,,
609780,Ames Middle School,MS,55,,,
610119,Elizabeth Peabody Elementary School,ES,,,,
610020,Francis Scott Key Elementary School,ES,,,,
610037,Arthur A Libby Elementary School,ES,,,,
610170,Columbia Explorers Elementary Academy,ES,,,,
609826,Rosario Castellanos Elementary School,ES,,,,
610390,Hyman G Rickover Naval Academy High School,HS,,16.5,15.8,63
610530,South Shore Fine Arts Academy,ES,,,,
610044,James Russell Lowell Elementary School,ES,,,,
609900,George W Curtis Elementary School,ES,,,,
610206,Mark Twain Elementary School,ES,,,,
610148,Cesar E Chavez Multicultural Academic Center Elementary School,ES,18.5,,,
610147,Philip Rogers Elementary School,ES,,,,
609804,Daniel Boone Elementary School,ES,,,,
610133,Laura S Ward Elementary School,ES,,,,
610179,Washington D Smyser Elementary School,ES,,,,
610252,Robert Nathaniel Dett Elementary School,ES,,,,
610405,Suder Montessori Magnet Elementary School,ES,,,,
610061,William J & Charles H Mayo Elementary School,ES,,,,
609929,Robert Fulton Elementary School,ES,,,,
609719,Lake View High School,HS,,16.1,16.7,81.4
610207,John H Vanderpoel Elementary Magnet School,ES,,,,
609768,Hope College Preparatory High School,HS,,13.7,13.5,55.2
609955,Walter Q Gresham Elementary School,ES,,,,
610022,Joyce Kilmer Elementary School,ES,,,,
610120,Ferdinand Peck Elementary School,ES,87.5,,,
609793,Nicholson Technology Academy,ES,,,,
610209,Alessandro Volta Elementary School,ES,65.2,,,
609761,George H Corliss High School,HS,,13,12.9,42.8
610086,Mount Vernon Elementary School,ES,,,,
609969,Bret Harte Elementary School,ES,,,,
610017,Maria Saucedo Elementary Scholastic Academy,ES,91.7,,,
609926,Franklin Elementary Fine Arts Center,ES,,,,
610073,Ellen Mitchell Elementary School,ES,,,,
609811,Orville T Bright Elementary School,ES,,,,
609728,Theodore Roosevelt High School,HS,,14.3,14,59.4
610077,Donald Morrill Math & Science Elementary School,ES,50,,,
609910,Laughlin Falconer Elementary School,ES,,,,
609995,Rufus M Hitch Elementary School,ES,,,,
610274,James Weldon Johnson Elementary School,ES,,,,
609880,Stephen Decatur Classical Elementary School,ES,,,,
609881,Edward C Delano Elementary School,ES,,,,
609850,Horace Greeley Elementary School,ES,,,,
609809,Lorenz Brentano Math & Science Academy Elementary School,ES,3.8,,,
609813,Charles S Brownell Elementary School,ES,,,,
610193,William K New Sullivan Elementary School,ES,,,,
609760,George Washington Carver Military Academy High School,HS,,15,14.9,78.7
609945,William C Goudy Elementary School,ES,100,,,
609968,Sharon Christa McAuliffe Elementary School,ES,,,,
609727,Wendell Phillips Academy High School,HS,,13.4,12.9,40.3
609933,Stephen F Gale Elementary Community Academy,ES,,,,
610142,William H Ray Elementary School,ES,,,,
610158,Harriet E Sayre Elementary Language Academy,ES,,,,
610063,Cyrus H McCormick Elementary School,ES,,,,
610134,Nathaniel Pope Elementary School,ES,,,,
610518,VOISE Academy High School,HS,,13.6,13.6,
609979,Robert Healy Elementary School,ES,80,,,
610503,Frazier Prospective IB Magnet Elementary School,ES,,,,
610210,Alexander von Humboldt Elementary School,ES,,,,
610006,Edward N Hurley Elementary School,ES,30.3,,,
610169,Austin O Sexton Elementary School,ES,,,,
610365,Mary McLeod Bethune Elementary School,ES,,,,
609851,Thomas Chalmers Specialty Elementary School,ES,,,,
610233,Elihu Yale Elementary School,ES,,,,
609833,Charles P Caldwell Academy of Math & Science Elementary School,ES,,,,
609904,Edward K Ellington Elementary School,ES,,,,
610094,Louis Nettelhorst Elementary School,ES,33.3,,,
610276,Irvin C Mollison Elementary School,ES,,,,
610402,DeVry University Advantage Academy High School,HS,,,,
610066,James E McDade Elementary Classical School,ES,,,,
610185,Adlai E Stevenson Elementary School,ES,,,,
609789,John Barry Elementary School,ES,,,,
610177,Mark Skinner Elementary School,ES,,,,
610241,Guglielmo Marconi Elementary Community Academy,ES,,,,
609715,Thomas Kelly High School,HS,,15.1,14.6,67.4
609925,Joseph Kellman Corporate Community Elementary School,ES,,,,
609967,William F Finkl Elementary School,ES,,,,
610085,Near North Elementary School,ES,,,,
609711,William Rainey Harper High School,HS,,13.1,13.4,37
610542,West Ridge Elementary School,ES,,,,
610130,John T Pirie Fine Arts & Academic Center Elementary School,ES,,,,
610099,Norwood Park Elementary School,ES,69.4,,,
610116,Parkside Elementary Community Academy,ES,,,,
609989,Victor Herbert Elementary School,ES,,,,
609707,Paul Robeson High School,HS,,12.7,12.7,40.6
610112,Francis W Parker Elementary Community Academy,ES,,,,
610171,Arnold Mireles Elementary Academy,ES,,,,
609887,Arthur Dixon Elementary School,ES,,,,
610137,Ernst Prussing Elementary School,ES,,,,
609942,Johann W von Goethe Elementary School,ES,29.4,,,
609922,Belmont-Cragin Elementary School,ES,,,,
609927,Foster Park Elementary School,ES,,,,
610228,John Greenleaf Whittier Elementary School,ES,,,,
610345,Carter G Woodson South Elementary School,ES,,,,
609709,Gage Park High School,HS,,13.8,13.6,52.8
610184,John Spry Elementary Community School,ES,,,,
609788,Alice L Barnard Computer Math & Science Center Elementary School,ES,,,,
609902,Ralph H Metcalfe Elementary Community Academy,ES,84.6,,,
609908,Esmond Elementary School,ES,,,,
610362,Medgar Evers Elementary School,ES,,,,
609844,William W Carter Elementary School,ES,50,,,
609930,Frederick Funston Elementary School,ES,,,,
610021,Pablo Casals Elementary School,ES,,,,
610139,George M Pullman Elementary School,ES,,,,
609730,Nicholas Senn High School,HS,,14.3,13.9,40.1
610339,Amos Alonzo Stagg Elementary School,ES,,,,
609871,Barbara Vick Early Childhood & Family Center,ES,,,,
609782,John J Audubon Elementary School,ES,61.1,,,
609954,John Milton Gregory Elementary School,ES,,,,
610353,Calmeca Academy of Fine Arts and Dual Language,ES,,,,
610132,Edgar Allan Poe Elementary Classical School,ES,,,,
609971,John Harvard Elementary School of Excellence,ES,,,,
609857,Grover Cleveland Elementary School,ES,58.3,,,
609734,William Howard Taft High School,HS,60,15.9,16.4,67.4
609796,Jean Baptiste Beaubien Elementary School,ES,72.2,,,
610084,Annie Keller Elementary Gifted Magnet School,ES,70.6,,,
610529,Ogden International High School,HS,29,,16,
610030,Charles Kozminski Elementary Community Academy,ES,,,,
609952,Nathanael Greene Elementary School,ES,,,,
609963,Alexander Hamilton Elementary School,ES,,,,
610141,Ravenswood Elementary School,ES,,,,
610011,Minnie Mars Jamieson Elementary School,ES,42.9,,,
610106,Brian Piccolo Elementary Specialty School,ES,,,,
610189,Joseph Stockton Elementary School,ES,75,,,
610065,Emmett Louis Till Math and Science Academy,ES,,,,
609991,Theodore Herzl Elementary School,ES,,,,
610076,Bernhard Moos Elementary School,ES,,,,
610282,Ronald E McNair Elementary School,ES,,,,
609738,Lincoln Park High School,HS,,18.6,19,77.9
610125,Irma C Ruiz Elementary School,ES,16.7,,,
610009,Galileo Math & Science Scholastic Academy Elementary School,ES,78.9,,,
610369,Mahalia Jackson Elementary School,ES,,,,
609884,William E Dever Elementary School,ES,,,,
609899,Christian Ebinger Elementary School,ES,,,,
610096,Florence Nightingale Elementary School,ES,32.1,,,
609849,George F Cassell Elementary School,ES,,,,
609691,North-Grand High School,HS,,14.1,14.2,69.7
610165,Franz Peter Schubert Elementary School,ES,,,,
610266,Dumas Technology Academy,ES,,,,
610092,Henry H Nash Elementary School,ES,,,,
610176,John D Shoop Math-Science Technical Academy Elementary School,ES,,,,
