School_ID,Name_of_School,Elementary_Middle_High_School,Students_Passing_Algebra,X10_Grade_Plan_2009,X10_Grade_Plan_2010,Graduation_Rate
610155,Sauganash Elementary School,ES,78.9,,,
610323,New Millennium High School of Health at Bowen,HS,,13.9,13.2,67.2
610230,Wildwood Elementary School,ES,84.6,,,
609781,Crispus Attucks Elementary School,ES,,,,
609964,John H Hamline Elementary School,ES,,,,
610300,Oliver S Westcott Elementary School,ES,,,,
609876,Nathan S Davis Elementary School,ES,,,,
609733,Roger C Sullivan High School,HS,,13.8,13.5,39.3
609907,Leif Ericson Elementary Scholastic Academy,ES,4.2,,,
610003,Paul Cuffe Math-Science Technology Academy Elementary School,ES,21.1,,,
610100,West Park Elementary Academy,ES,,,,
609956,Robert L Grimes Elementary School,ES,,,,
610315,Edward White Elementary Career Academy,ES,,,,
610265,Benjamin Banneker Elementary School,ES,,,,
610028,Alfred David Kohn Elementary School,ES,,,,
610067,Francis M McKay Elementary School,ES,,,,
609920,Gerald Delgado Kanoon Elementary Magnet School,ES,45.5,,,
609879,Charles Gates Dawes Elementary School,ES,,,,
610238,Carrie Jacobs Bond Elementary School,ES,,,,
610010,Friedrich Ludwig Jahn Elementary School,ES,,,,
609718,John F Kennedy High School,HS,,15.1,15.6,53.3
610138,Pulaski International Academy Elmentary School,ES,53.3,,,
609794,Thomas A Edison Regional Gifted Center Elementary School,ES,78.6,,,
610046,Mary Lyon Elementary School,ES,100,,,
610347,Claremont Academy Elementary School,ES,,,,
610533,Dr Jorge Prieto Math and Science,ES,52.9,,,
610213,James Wadsworth Elementary School,ES,,,,
610058,Horatio May Elementary Community Academy,ES,,,,
609716,Kelvyn Park High School,HS,,13.8,13.8,54.1
610183,Spencer Technology Academy,ES,,,,
609834,Little Village Elementary School,ES,66.7,,,
609815,Edward A Bouchet Math & Science Academy Elementary School,ES,,,,
610027,Rudyard Kipling Elementary School,ES,,,,
610128,Marcus Moziah Garvey Elementary School,ES,69.2,,,
609753,Chicago High School for Agricultural Sciences,HS,,16.9,17.4,70.7
610041,Josephine C Locke Elementary School,ES,45.5,,,
609812,William H Brown Elementary School,ES,,,,
610122,Helen Peirce International Studies Elementary School,ES,5.7,,,
610336,Williams Preparatory Academy Middle School,MS,,,,
609724,Stephen T Mather High School,HS,,15,15.4,56.2
610297,High School of Leadership at South Shore,HS,,13.1,13.1,36.6
610506,TEAM Englewood Community Academy High School,HS,,14.3,13.3,
610350,Robert A Black Magnet Elementary School,ES,36.4,,,
610154,Martin A Ryerson Elementary School,ES,,,,
610384,Infinity Math Science and Technology High School,HS,,14.8,15.1,84.4
609870,Daniel J Corkery Elementary School,ES,,,,
